Ref,Val,Package,PosX,PosY,Rot,Side
"D1","WHITE","D_0603_1608Metric",135.012500,-75.000000,0.000000,top
"D2","WHITE","D_0603_1608Metric",135.025000,-85.000000,0.000000,top
"D3","WHITE","D_0603_1608Metric",135.025000,-95.000000,0.000000,top
"D4","WHITE","D_0603_1608Metric",135.025000,-105.000000,0.000000,top
"D5","WHITE","D_0603_1608Metric",135.012500,-115.000000,0.000000,top
"D6","WHITE","D_0603_1608Metric",145.012500,-75.000000,0.000000,top
"D7","WHITE","D_0603_1608Metric",145.012500,-85.000000,0.000000,top
"D8","WHITE","D_0603_1608Metric",145.012500,-95.000000,0.000000,top
"D9","WHITE","D_0603_1608Metric",144.987500,-105.000000,0.000000,top
"D10","WHITE","D_0603_1608Metric",145.012500,-115.000000,0.000000,top
"D11","WHITE","D_0603_1608Metric",154.987500,-75.000000,0.000000,top
"D12","WHITE","D_0603_1608Metric",155.012500,-85.000000,0.000000,top
"D13","WHITE","D_0603_1608Metric",155.012500,-95.000000,0.000000,top
"D14","WHITE","D_0603_1608Metric",155.012500,-105.000000,0.000000,top
"D15","WHITE","D_0603_1608Metric",155.012500,-115.000000,0.000000,top
"D16","WHITE","D_0603_1608Metric",165.012500,-75.000000,0.000000,top
"D17","WHITE","D_0603_1608Metric",165.012500,-85.000000,0.000000,top
"D18","WHITE","D_0603_1608Metric",165.012500,-95.000000,0.000000,top
"D19","WHITE","D_0603_1608Metric",165.012500,-105.000000,0.000000,top
"D20","WHITE","D_0603_1608Metric",165.012500,-115.000000,0.000000,top
"D21","WHITE","D_0603_1608Metric",175.012500,-75.000000,0.000000,top
"D22","WHITE","D_0603_1608Metric",175.012500,-85.000000,0.000000,top
"D23","WHITE","D_0603_1608Metric",175.012500,-95.000000,0.000000,top
"D24","WHITE","D_0603_1608Metric",175.012500,-105.000000,0.000000,top
"D25","WHITE","D_0603_1608Metric",175.012500,-115.000000,0.000000,top
"R5","500","R_0805_2012Metric",134.975000,-76.900000,0.000000,top
"R6","500","R_0805_2012Metric",134.975000,-86.900000,0.000000,top
"R7","500","R_0805_2012Metric",134.975000,-96.900000,0.000000,top
"R8","500","R_0805_2012Metric",135.025000,-106.900000,0.000000,top
"R9","500","R_0805_2012Metric",134.975000,-116.900000,0.000000,top
"R10","500","R_0805_2012Metric",144.975000,-76.900000,0.000000,top
"R11","500","R_0805_2012Metric",144.975000,-86.900000,0.000000,top
"R12","500","R_0805_2012Metric",144.975000,-96.800000,0.000000,top
"R13","500","R_0805_2012Metric",144.975000,-106.900000,0.000000,top
"R14","500","R_0805_2012Metric",144.975000,-116.900000,0.000000,top
"R15","500","R_0805_2012Metric",154.975000,-76.900000,0.000000,top
"R16","500","R_0805_2012Metric",154.975000,-86.900000,0.000000,top
"R17","500","R_0805_2012Metric",154.975000,-96.900000,0.000000,top
"R18","500","R_0805_2012Metric",154.975000,-106.900000,0.000000,top
"R19","500","R_0805_2012Metric",154.975000,-116.900000,0.000000,top
"R20","500","R_0805_2012Metric",164.975000,-76.900000,0.000000,top
"R21","500","R_0805_2012Metric",164.975000,-86.900000,0.000000,top
"R22","500","R_0805_2012Metric",164.975000,-96.900000,0.000000,top
"R23","500","R_0805_2012Metric",164.975000,-106.900000,0.000000,top
"R24","500","R_0805_2012Metric",164.975000,-116.900000,0.000000,top
"R25","500","R_0805_2012Metric",174.975000,-76.900000,0.000000,top
"R26","500","R_0805_2012Metric",174.975000,-86.900000,0.000000,top
"R27","500","R_0805_2012Metric",174.975000,-96.900000,0.000000,top
"R28","500","R_0805_2012Metric",174.975000,-106.900000,0.000000,top
"R29","500","R_0805_2012Metric",174.975000,-116.900000,0.000000,top
